"external_gene_name"	"length"	"biotype"	"protein_coding"	"antisense"	"processed_pseudogene"	"transcribed_processed_pseudogene"	"X3prime_overlapping_ncRNA"	"lincRNA"	"sense_intronic"	"sense_overlapping"	"miRNA"	"rRNA"	"snRNA"	"snoRNA"	"vaultRNA"	"macro_lncRNA"	"unprocessed_pseudogene"	"TEC"	"misc_RNA"	"processed_transcript"	"bidirectional_promoter_lncRNA"	"transcribed_unprocessed_pseudogene"	"unitary_pseudogene"	"transcribed_unitary_pseudogene"	"polymorphic_pseudogene"	"IG_V_gene"	"pseudogene"	"ribozyme"	"sRNA"	"non_coding"	"scaRNA"	"IG_C_pseudogene"	"3prime_overlapping_ncRNA"
"21647"	"RGSL1"	151407	"protein_coding"	11	0	8	0	0	7	0	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21649"	"LIN28A"	18944	"protein_coding"	29	3	6	0	0	0	0	0	1	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21651"	"BRDT"	65055	"protein_coding"	11	0	7	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21653"	"DMRTB1"	8089	"protein_coding"	14	8	4	1	0	3	1	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21655"	"NUP210L"	162431	"protein_coding"	37	11	7	0	0	1	0	0	4	0	4	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21657"	"OR14K1"	944	"protein_coding"	30	2	2	0	0	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21659"	"SHCBP1L"	53660	"protein_coding"	11	1	6	0	0	3	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21661"	"DNAJA1P5"	942	"processed_pseudogene"	1	0	3	0	0	2	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21663"	"FAM71A"	2304	"protein_coding"	13	2	5	0	0	8	2	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21665"	"IL20"	3869	"protein_coding"	19	3	5	0	0	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21667"	"HIST3H3"	480	"protein_coding"	16	6	7	0	0	3	0	0	4	20	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21669"	"TEX37"	4933	"protein_coding"	8	2	3	0	0	0	0	0	2	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21671"	"DRD5P2"	3101	"processed_pseudogene"	5	1	8	0	0	6	0	0	0	2	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21673"	"LINC00303"	8818	"lincRNA"	14	4	10	0	0	2	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21675"	"UBE2U"	63741	"protein_coding"	4	1	2	0	0	1	0	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21677"	"TSPYL6"	3088	"protein_coding"	11	4	4	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21679"	"ZNF648"	7142	"protein_coding"	5	0	4	0	0	6	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21681"	"LINC01555"	6790	"lincRNA"	12	0	2	0	0	4	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21683"	"FIGLA"	13333	"protein_coding"	18	6	4	0	0	2	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21685"	"A3GALT2"	14332	"protein_coding"	14	3	2	0	0	2	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21687"	"NT5C1B"	26700	"protein_coding"	4	0	0	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21689"	"LCE3A"	269	"protein_coding"	38	3	1	1	0	2	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21691"	"PRR30"	2562	"protein_coding"	38	7	4	0	0	0	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21693"	"CLEC20A"	20387	"protein_coding"	6	1	4	0	0	3	0	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21695"	"CATSPER4"	12407	"protein_coding"	29	5	8	0	0	0	0	0	2	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21697"	"AADACL3"	12644	"protein_coding"	23	0	2	0	0	4	0	0	1	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21699"	"OR2C3"	11763	"protein_coding"	28	2	8	0	0	3	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21701"	"SLC2A7"	23045	"protein_coding"	8	1	7	0	0	6	0	0	2	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21703"	"OR14L1P"	5229	"transcribed_unprocessed_pseudogene"	27	2	7	0	0	2	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21705"	"RNU5E-1"	119	"snRNA"	19	3	5	0	0	1	0	0	3	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21707"	"LINC00272"	7194	"lincRNA"	10	0	5	0	0	7	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21709"	"LELP1"	1677	"protein_coding"	47	3	3	0	0	1	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21711"	"C1orf141"	139688	"protein_coding"	12	2	3	0	0	1	1	0	1	0	4	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21713"	"C1orf195"	6973	"lincRNA"	12	5	5	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21715"	"C2orf91"	18898	"protein_coding"	5	2	2	0	0	2	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21717"	"RNU1-2"	163	"snRNA"	13	1	2	0	0	14	0	0	2	0	6	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21719"	"VDAC2P3"	827	"processed_pseudogene"	6	1	4	0	0	2	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21721"	"FOXI3"	5869	"protein_coding"	8	2	5	0	0	0	0	0	2	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21723"	"RPSAP28"	873	"processed_pseudogene"	16	1	1	0	0	1	2	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21725"	"LINC01913"	16972	"lincRNA"	4	2	2	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21727"	"LACTBL1"	12295	"protein_coding"	15	3	3	0	0	3	1	0	5	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21729"	"RPS7P5"	580	"processed_pseudogene"	3	4	4	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21731"	"LINC01793"	61692	"lincRNA"	0	0	1	0	0	5	0	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21733"	"RPSAP65"	594	"processed_pseudogene"	6	1	3	0	0	6	1	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21735"	"ROR1-AS1"	76855	"antisense"	4	1	2	0	0	1	0	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21737"	"LINC01874"	1711	"lincRNA"	6	5	0	0	0	15	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21739"	"LINC00466"	158187	"processed_transcript"	8	2	4	0	0	6	1	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21741"	"LINC01142"	12605	"lincRNA"	7	2	4	0	0	5	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21743"	"PDSS1P2"	677	"unprocessed_pseudogene"	10	1	3	0	0	0	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21745"	"LINC01398"	4608	"processed_transcript"	22	4	5	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21747"	"LINC01795"	20671	"lincRNA"	2	1	2	0	0	2	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21749"	"LINC01745"	4179	"lincRNA"	4	0	2	0	0	2	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21751"	"LINC01709"	148024	"lincRNA"	2	1	6	0	0	3	0	1	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21753"	"LINC01682"	10202	"lincRNA"	7	3	4	0	1	2	0	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21755"	"LINC01688"	1682	"lincRNA"	11	1	7	0	0	4	0	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21757"	"LINC01364"	18131	"lincRNA"	4	2	2	0	0	3	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21759"	"TEX46"	5016	"protein_coding"	16	3	3	0	0	3	1	0	5	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21761"	"LINC01696"	3076	"lincRNA"	8	1	4	0	0	5	0	0	2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21763"	"LINC01757"	1560	"lincRNA"	20	5	1	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21765"	"LINC01890"	4376	"lincRNA"	10	2	2	0	0	1	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21767"	"LINC01784"	473	"lincRNA"	27	0	1	0	0	4	0	0	1	0	3	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21769"	"LINC01635"	2058	"lincRNA"	10	1	4	1	0	2	2	0	1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21771"	"LINC01760"	7335	"lincRNA"	6	4	0	1	0	6	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21773"	"LINC01788"	80015	"lincRNA"	6	4	2	0	0	3	1	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21775"	"HNRNPA1P66"	933	"processed_pseudogene"	5	1	5	1	0	2	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21777"	"PIN1P1"	995	"transcribed_processed_pseudogene"	6	3	1	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21779"	"SNAP47-AS1"	3360	"antisense"	14	2	8	0	0	3	0	0	2	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21781"	"LINC01753"	29367	"lincRNA"	1	0	1	0	0	6	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21783"	"OR3D1P"	954	"unprocessed_pseudogene"	28	2	6	0	0	2	0	0	1	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21785"	"LINC01381"	4889	"antisense"	9	4	2	0	0	1	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21787"	"OR6R1P"	939	"unprocessed_pseudogene"	32	2	2	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21789"	"LINC01676"	31383	"lincRNA"	0	0	5	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21791"	"LINC01804"	53557	"lincRNA"	3	3	3	0	0	9	0	0	0	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21793"	"LINC01712"	16720	"lincRNA"	1	0	0	0	0	5	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21795"	"PIK3CDP1"	921	"processed_pseudogene"	3	1	1	0	0	6	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21797"	"LINC01653"	15635	"lincRNA"	4	2	3	0	1	4	0	0	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21799"	"RPL5P6"	885	"processed_pseudogene"	4	0	3	0	0	3	0	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21801"	"LINC01628"	947	"lincRNA"	2	2	2	0	0	8	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21803"	"LINC01717"	4496	"lincRNA"	1	0	4	0	0	5	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21805"	"LINC01677"	100653	"lincRNA"	0	0	5	0	0	3	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21807"	"LINC01755"	5032	"lincRNA"	1	0	1	0	0	6	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21809"	"RPL23AP25"	462	"processed_pseudogene"	16	2	5	0	0	1	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21811"	"DNM3-IT1"	500	"sense_intronic"	6	1	8	0	0	0	1	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21813"	"LINC01851"	2077	"lincRNA"	1	0	1	1	0	4	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21815"	"LINC01865"	24206	"lincRNA"	5	3	0	0	0	14	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21817"	"FAM58BP"	644	"processed_pseudogene"	4	0	6	0	0	5	0	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21819"	"LINC01360"	49083	"lincRNA"	0	0	1	0	0	3	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21821"	"LINC01868"	6146	"lincRNA"	7	2	7	0	0	5	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21823"	"LINC01641"	37444	"lincRNA"	8	3	8	0	0	1	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21825"	"KAZN-AS1"	42620	"lincRNA"	1	0	1	0	0	2	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21827"	"LINC01883"	2279	"lincRNA"	10	5	5	1	0	5	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21829"	"LINC01525"	25816	"lincRNA"	7	2	5	0	0	3	0	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21831"	"CYMP-AS1"	2578	"lincRNA"	15	10	2	0	0	3	0	1	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21833"	"SNX18P14"	573	"processed_pseudogene"	9	2	10	0	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21835"	"LINC01647"	3824	"lincRNA"	20	4	6	0	0	2	0	0	1	0	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21837"	"RMDN2-AS1"	117130	"antisense"	5	3	4	1	0	7	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21839"	"PPP1R11P1"	375	"processed_pseudogene"	8	3	7	0	0	1	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21841"	"EEF1GP7"	702	"processed_pseudogene"	14	3	16	0	0	1	0	0	3	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21843"	"LINC01744"	15461	"lincRNA"	4	0	1	0	0	2	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21845"	"LINC01774"	2853	"lincRNA"	0	0	4	0	0	7	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21847"	"LINC01810"	1955	"lincRNA"	1	1	1	0	1	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21849"	"LINC01661"	19928	"lincRNA"	2	0	4	0	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21851"	"KCND3-AS1"	1595	"antisense"	12	1	3	0	0	3	1	2	0	0	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21853"	"NFIA-AS1"	4565	"processed_transcript"	3	1	1	0	0	3	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21855"	"LINC01685"	21159	"lincRNA"	10	1	4	0	0	5	0	0	1	0	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21857"	"STPG4"	109840	"protein_coding"	12	6	0	0	0	6	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21859"	"TEX35"	35525	"protein_coding"	6	1	5	0	0	3	0	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21861"	"UOX"	34125	"transcribed_unitary_pseudogene"	10	0	4	0	0	6	1	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21863"	"WDR82P2"	927	"processed_pseudogene"	5	0	4	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21865"	"NKAIN1P1"	581	"processed_pseudogene"	2	1	7	1	0	4	0	0	0	1	5	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21867"	"PFN1P8"	542	"processed_pseudogene"	4	2	7	0	0	2	0	0	0	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21869"	"RNU6-725P"	101	"snRNA"	3	1	10	1	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21871"	"TSNAX-DISC1"	290591	"protein_coding"	11	2	3	0	0	2	1	0	0	1	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21873"	"C2orf83"	38516	"protein_coding"	19	2	3	0	0	0	0	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21875"	"ROPN1"	23657	"protein_coding"	5	3	1	0	0	0	0	0	2	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21877"	"DAZL"	83514	"protein_coding"	7	4	1	0	0	3	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21879"	"GNAT1"	4904	"protein_coding"	37	8	3	0	0	3	1	0	5	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21881"	"TNP1"	606	"protein_coding"	7	6	3	0	0	7	0	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21883"	"C4orf17"	31299	"protein_coding"	16	3	3	1	0	1	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21885"	"CABS1"	2150	"protein_coding"	23	1	1	0	0	0	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21887"	"TRIM42"	23111	"protein_coding"	4	4	2	0	0	1	1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21889"	"LINC01931"	91685	"lincRNA"	2	1	2	0	0	3	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21891"	"STPG2"	959147	"protein_coding"	3	3	5	0	0	2	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21893"	"ALPPL2"	3871	"protein_coding"	16	3	2	0	1	1	0	0	2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21895"	"DPPA2"	22729	"protein_coding"	6	1	6	0	0	4	0	0	1	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21897"	"PLSCR2"	104570	"protein_coding"	5	4	1	1	0	3	0	1	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21899"	"ZPLD1"	380597	"protein_coding"	6	2	2	0	0	3	0	0	0	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21901"	"OPRPN"	12312	"protein_coding"	22	1	0	0	0	0	0	0	0	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21903"	"FRG2C"	2890	"protein_coding"	3	0	10	1	0	2	0	0	3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21905"	"TOPAZ1"	90212	"protein_coding"	12	3	4	0	0	6	0	0	1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21907"	"TEX44"	1382	"protein_coding"	12	1	8	0	0	2	0	1	3	0	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
